product_id,product_name,category,price,stock_quantity,rating
1001,Product_1,Home,3807.95,60,4.6
1002,Product_2,Home,9512.07,497,2.3
1003,Product_3,Clothing,7346.74,80,3.7
1004,Product_4,Books,6026.72,489,1.8
1005,Product_5,Toys,1644.58,57,3.5
1006,Product_6,Books,1644.35,28,2.3
1007,Product_7,Toys,675.03,271,1.8
1008,Product_8,Electronics,8675.14,93,2.3
1009,Product_9,Electronics,6051.04,164,1.7
1010,Product_10,Home,7109.92,62,4.6
1011,Product_11,Clothing,303.79,116,2.6
1012,Product_12,Books,9702.11,366,2
1013,Product_13,Clothing,8341.18,313,2.8
1014,Product_14,Books,2202.16,144,2.3
1015,Product_15,Books,1900.07,452,4
1016,Product_16,Electronics,1915.7,78,4.9
1017,Product_17,Home,3112,20,2.8
1018,Product_18,Home,5295.09,152,4.4
1019,Product_19,Clothing,4376.26,201,3.3
1020,Product_20,Home,2983.17,396,1.6
1021,Product_21,Toys,6157.34,387,3.8
1022,Product_22,Clothing,1480.99,78,3.1
1023,Product_23,Electronics,2992.23,32,3.6
1024,Product_24,Electronics,3726.98,190,4.6
1025,Product_25,Toys,4615.09,302,2.8
1026,Product_26,Clothing,7873.24,18,4.6
1027,Product_27,Home,2076.77,280,4
1028,Product_28,Books,5190.92,396,3
1029,Product_29,Electronics,5964.9,102,3.4
1030,Product_30,Books,559.86,463,2.3
1031,Product_31,Clothing,6114.69,26,4.9
1032,Product_32,Toys,1788.19,163,3.7
1033,Product_33,Electronics,744.01,414,1.2
1034,Product_34,Toys,9493.97,337,2.3
1035,Product_35,Toys,9659.76,158,3.5
1036,Product_36,Electronics,8103.13,386,1.2
1037,Product_37,Electronics,3115.68,276,1.1
1038,Product_38,Electronics,1066.95,431,2.8
1039,Product_39,Clothing,6873.91,337,2.3
1040,Product_40,Books,4457.51,115,2.8
1041,Product_41,Clothing,1308.18,481,2.1
1042,Product_42,Electronics,5002.25,390,1.7
1043,Product_43,Home,440.45,44,3.8
1044,Product_44,Home,9102.27,128,3.1
1045,Product_45,Electronics,2661.92,23,1.8
1046,Product_46,Clothing,6658.97,23,2.3
1047,Product_47,Clothing,3185.94,275,3.4
1048,Product_48,Electronics,5248.67,149,1.3
1049,Product_49,Home,5512.43,303,1.6
1050,Product_50,Clothing,1930.06,373,1.3
1051,Product_51,Home,9698.89,128,4.2
1052,Product_52,Toys,7773.81,247,4
1053,Product_53,Toys,9401.04,43,4
1054,Product_54,Home,8958.79,178,3.9
1055,Product_55,Home,6019.21,19,3.7
